Member State Code,Member State Name,Week - Begin Date,Week - End Date,Week Number,Category,Unit,Price,Year
IE,Ireland,1992-03-16,1992-03-22,12,Heifers,100kg,230.9,1992
IE,Ireland,1992-02-10,1992-02-16,7,Heifers,100kg,234.0,1992
IE,Ireland,1992-07-27,1992-08-02,31,Heifers,100kg,236.4,1992
IE,Ireland,1992-09-07,1992-09-13,37,Heifers,100kg,238.6,1992
IE,Ireland,1992-12-07,1992-12-13,50,Heifers,100kg,232.1,1992
IE,Ireland,1992-01-20,1992-01-26,4,Heifers,100kg,238.4,1992
IE,Ireland,1992-01-13,1992-01-19,3,Heifers,100kg,236.9,1992
IE,Ireland,1992-11-16,1992-11-22,47,Heifers,100kg,228.4,1992
IE,Ireland,1991-12-30,1992-01-05,1,Heifers,100kg,234.3,1992
IE,Ireland,1992-06-29,1992-07-05,27,Heifers,100kg,236.8,1992
IE,Ireland,1992-08-24,1992-08-30,35,Heifers,100kg,241.4,1992
IE,Ireland,1992-12-28,1993-01-03,53,Heifers,100kg,230.7,1992
IE,Ireland,1992-10-05,1992-10-11,41,Heifers,100kg,234.8,1992
IE,Ireland,1992-11-02,1992-11-08,45,Heifers,100kg,231.9,1992
IE,Ireland,1992-10-26,1992-11-01,44,Heifers,100kg,236.0,1992
IE,Ireland,1992-08-31,1992-09-06,36,Heifers,100kg,241.6,1992
IE,Ireland,1992-06-22,1992-06-28,26,Heifers,100kg,241.6,1992
IE,Ireland,1992-05-25,1992-05-31,22,Heifers,100kg,239.5,1992
IE,Ireland,1992-04-27,1992-05-03,18,Heifers,100kg,238.5,1992
IE,Ireland,1992-08-03,1992-08-09,32,Heifers,100kg,238.3,1992
IE,Ireland,1992-06-15,1992-06-21,25,Heifers,100kg,235.1,1992
IE,Ireland,1992-05-04,1992-05-10,19,Heifers,100kg,239.2,1992
IE,Ireland,1992-02-24,1992-03-01,9,Heifers,100kg,232.9,1992
IE,Ireland,1992-05-11,1992-05-17,20,Heifers,100kg,241.6,1992
IE,Ireland,1992-03-09,1992-03-15,11,Heifers,100kg,232.6,1992
IE,Ireland,1992-07-06,1992-07-12,28,Heifers,100kg,236.1,1992
IE,Ireland,1992-03-30,1992-04-05,14,Heifers,100kg,231.8,1992
IE,Ireland,1993-01-18,1993-01-24,3,Heifers,100kg,231.8,1993
IE,Ireland,1993-07-26,1993-08-01,30,Heifers,100kg,245.7,1993
IE,Ireland,1993-11-22,1993-11-28,47,Heifers,100kg,234.8,1993
IE,Ireland,1993-01-25,1993-01-31,4,Heifers,100kg,235.1,1993
IE,Ireland,1993-12-27,1994-01-02,52,Heifers,100kg,237.1,1993
IE,Ireland,1993-04-26,1993-05-02,17,Heifers,100kg,238.4,1993
IE,Ireland,1993-06-21,1993-06-27,25,Heifers,100kg,256.0,1993
IE,Ireland,1993-06-28,1993-07-04,26,Heifers,100kg,249.6,1993
IE,Ireland,1993-03-15,1993-03-21,11,Heifers,100kg,245.4,1993
IE,Ireland,1993-11-01,1993-11-07,44,Heifers,100kg,232.5,1993
IE,Ireland,1993-11-08,1993-11-14,45,Heifers,100kg,232.6,1993
IE,Ireland,1993-07-05,1993-07-11,27,Heifers,100kg,244.9,1993
IE,Ireland,1993-06-14,1993-06-20,24,Heifers,100kg,255.9,1993
IE,Ireland,1993-10-18,1993-10-24,42,Heifers,100kg,227.2,1993
IE,Ireland,1993-07-19,1993-07-25,29,Heifers,100kg,244.7,1993
IE,Ireland,1993-02-01,1993-02-07,5,Heifers,100kg,224.7,1993
IE,Ireland,1993-06-07,1993-06-13,23,Heifers,100kg,257.9,1993
IE,Ireland,1993-03-08,1993-03-14,10,Heifers,100kg,241.1,1993
IE,Ireland,1993-11-15,1993-11-21,46,Heifers,100kg,234.4,1993
IE,Ireland,1993-03-22,1993-03-28,12,Heifers,100kg,247.7,1993
IE,Ireland,1993-07-12,1993-07-18,28,Heifers,100kg,245.4,1993
IE,Ireland,1993-10-25,1993-10-31,43,Heifers,100kg,228.5,1993
IE,Ireland,1993-12-20,1993-12-26,51,Heifers,100kg,237.1,1993
IE,Ireland,1993-01-11,1993-01-17,2,Heifers,100kg,229.3,1993
IE,Ireland,1993-12-06,1993-12-12,49,Heifers,100kg,235.5,1993
IE,Ireland,1993-05-24,1993-05-30,21,Heifers,100kg,257.5,1993
IE,Ireland,1993-12-13,1993-12-19,50,Heifers,100kg,237.1,1993
IE,Ireland,1993-08-16,1993-08-22,33,Heifers,100kg,244.8,1993
IE,Ireland,1993-09-27,1993-10-03,39,Heifers,100kg,227.7,1993
IE,Ireland,1993-01-04,1993-01-10,1,Heifers,100kg,228.6,1993
IE,Ireland,1993-04-05,1993-04-11,14,Heifers,100kg,238.8,1993
IE,Ireland,1993-08-23,1993-08-29,34,Heifers,100kg,244.4,1993
IE,Ireland,1993-08-30,1993-09-05,35,Heifers,100kg,240.6,1993
IE,Ireland,1993-09-20,1993-09-26,38,Heifers,100kg,233.2,1993
IE,Ireland,1993-05-03,1993-05-09,18,Heifers,100kg,248.4,1993
IE,Ireland,1993-02-08,1993-02-14,6,Heifers,100kg,226.0,1993
IE,Ireland,1993-05-17,1993-05-23,20,Heifers,100kg,257.3,1993
IE,Ireland,1993-05-10,1993-05-16,19,Heifers,100kg,254.6,1993
IE,Ireland,1993-02-22,1993-02-28,8,Heifers,100kg,229.0,1993
IE,Ireland,1993-04-19,1993-04-25,16,Heifers,100kg,240.1,1993
IE,Ireland,1993-08-02,1993-08-08,31,Heifers,100kg,246.6,1993
IE,Ireland,1993-03-01,1993-03-07,9,Heifers,100kg,237.9,1993
